TITLE|DEVICE_TYPE|OS|BRAND|PRICE|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|CAMERA_FRONT|CAMERA_BACK|SCREEN_SIZE|SCREEN_TYPE|SCREEN_RESOLUTION|GPU|CPU|CPU_CORES|WEIGHT|PRODUCT_SIZE|RAM|EXTERNAL_MEMORY|BATTERY_CAPACITY|ROM|SIM_CARD_SLOT
lenovo tb3 - x70n 4g phablet|phablet |android 6.0 |lenovo |$314.02|fdd-lte 800/900/1800/2100/2600mhz,td-lte band 38/39/40/41 |td-scdma (b34/b39) wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm + wcdma + td-scdma + lte-fdd + td-lte |802.11 a/b/g/n/ac wireless internet |5.0mp |8.0mp |10.1 inch |capacitive (10-point) |1920 x 1200 (wuxga) |mali-720 |mtk8735 |1.3ghz,quad core |0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |2gb |tf card up to 64gb (not included) |7000mah, li-ion polymer battery |16gb |micro sim card slot 
lenovo tb3 730f tablet pc|tablet pc |android 6.0 |lenovo |$107.02|||||802.11b/g/n wireless internet |2.0mp |5.0mp |7 inch |capacitive (5-point) |1024 x 600 (wsvga) |mali-t720 |mtk8161p |1ghz,quad core |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |1gb |tf card up to 32gb (not included) |3.7v / 3450mah, li-ion polymer battery |16gb |
chuwi hi10 pro 2 in 1 ultrabook tablet pc|ultrabook |windows 10 + android 5.1 |chuwi |$169.66|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.1 inch |capacitive,ips |1920 x 1200 (wuxga) |intel hd graphic(gen8) |cherry trail z8300 |1.44ghz,quad core |0.5620 kg |26.18 x 16.73 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |4gb |tf card up to 128gb (not included) |3.7v/6500mah |64gb |
teclast tbook 10 s 2 in 1 tablet pc|tablet pc,umpc |windows 10 + android 5.1 |teclast |$159.99|||||802.11b/g/n wireless internet |2.0mp ||10.1 inch |capacitive,ips |1920 x 1200 (wuxga) |intel hd graphic(gen8) |intel cherry trail x5-z8350 |1.44ghz,quad core |0.5740 kg |24.65 x 16.59 x 0.80 cm / 9.7 x 6.53 x 0.31 inches |4gb |tf card up to 128gb (not included) |3.8v / 5800mah |64gb |
teclast 98 octa core dual 4g phablet|phablet |android 6.0 |teclast |$109.99|fdd-lte 1800/2100mhz,tdd-lte band 38/39/40 |wcdma 2100mhz |gsm 900/1800mhz ||ieee 802.11b/g/n |2.0mp |5.0mp with af |10.1 inch |capacitive (5-point) |1920 x 1200 (wuxga) |mali-720 |mtk6753 64bit |1.5ghz,octa core |0.4660 kg |24.00 x 17.00 x 0.95 cm / 9.45 x 6.69 x 0.37 inches |2gb |tf card up to 128gb (not included) |4900mah / 3.7v |32gb |dual sim,dual standby,standard sim card slot 
gbtiger l701 kids tablet pc||android 4.4 ||$57.32||||||||||1024x600 ||allwinner a33 |quad core |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches |512mb ||2200mah |8gb |
pipo p7 tablet pc|tablet pc |android 4.4 |pipo |$158.71|||||802.11b/g/n wireless internet |2.0mp |5.0mp |9.4 inch |capacitive (10-point) |1280 x 800 (wxga) |mali-t764 |rk3288 |1.8ghz,quad core |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |2gb |tf card up to 64gb (not included) |6400mah, li-ion polymer battery |16gb |
great wall l803 4g phablet|phablet |android 5.1 |great wall |$160.61|fdd-lte 800/850/900/1800/1900//2100/2600mhz |wcdma 850/900/1800/1900mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |2.0mp |5.0mp |8 inch |capacitive,ips |1280 x 800 |mali-t720 |mtk8735 |1ghz,quad core |0.355 kg |20.80 x 12.10 x 0.79 cm / 8.19 x 4.76 x 0.31 inches |1gb |tf card up to 64gb (not included) |4.35v/5000mah |8gb |single sim,single standby 
cube iwork8 air pro tablet pc|tablet pc |windows 10 + android 5.1 |cube |$104.99|||||802.11b/g/n wireless internet |2.0mp |2.0mp |8 inch |capacitive (5-point) |1920 x 1200 (wuxga) |intel hd graphic(gen8) |intel cherry trail x5-z8350 |1.44ghz,quad core |0.3380 kg |21.20 x 12.50 x 0.40 cm / 8.35 x 4.92 x 0.16 inches |2gb |tf card up to 128gb (not included) |3.7v / 3500mah |32gb |
chuwi hi10 plus windows 10 + android 5.1 tablet pc|tablet pc |windows 10 + android 5.1 |chuwi |$164.99|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.8 inch |ips |1920 x 1280 |intel hd graphics 400 |intel cherry trail x5-z8350 |1.44ghz,quad core |0.7050 kg |27.50 x 18.40 x 0.80 cm / 10.83 x 7.24 x 0.31 inches |4gb |tf card up to 128gb (not included) |built-in, 3.7v / 8400mah, li-ion polymer battery |64gb |
huawei matebook e 2 in 1 tablet pc fingerprint sensor||||$1011.64||||||||||||||||||||
huawei m2 ( m2-803l ) 4g phablet|phablet |android 5.1 |huawei |$361.03|fdd-lte band 1/3/7,td-lte band 38/39/40/41 |td-scdma band 34/39,wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm + wcdma + td-scdma + lte-fdd + td-lte |802.11 a/b/g/n/ac wireless internet |2.0mp |8.0mp |8 inch |capacitive |1920 x 1200 (wuxga) |mali-t628 |hisilicon kirin 930 |2.0ghz,octa core |0.3300 kg |21.48 x 12.40 x 0.78 cm / 8.46 x 4.88 x 0.31 inches |3gb |tf card up to 128gb (not included) |4800mah, li-ion polymer battery |64gb |1 x micro sim card slot) 
veidoo v706 - m4w 7.0 inch 3g phablet|phablet |android 6.0 |veidoo |$64.57||wcdma 850/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm,wcdma |802.11b/g/n wireless internet |0.3mp |2.0mp (with flash light) |7 inch |capacitive |1024 x 600 (wsvga) |mali-400 |mtk8321 |1.3ghz,quad core |0.2790 kg |18.80 x 10.70 x 1.08 cm / 7.4 x 4.21 x 0.43 inches |1gb |tf card up to 32gb (not included) |3.7v / 2500mah |8gb |dual sim,dual standby,yes (2 x standard sim card slot) 
great wall w715 kids tablet pc|kids tablet |android 4.4 |great wall |$42.99|||||802.11 a/b/g/n wireless internet |0.3mp |2.0mp |7 inch |capacitive |1024 x 600 (wsvga) |mali-400 mp |rk3126 |1.33ghz,quad core |0.2680 kg |18.70 x 10.60 x 0.80 cm / 7.36 x 4.17 x 0.31 inches |1gb ||2500mah |8gb |
original teclast series eu plug power adapter 5v / 2.5a output||||$6.02||||||||||||||||||||
bdf kt107 3g phablet|phablet |android 6.0 |bdf |$101.58||wcdma b1 2100mhz |gsm 1800mhz,gsm 850mhz,gsm 900mhz |gsm,wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp (with flash light and auto focus) |10.1 inch |capacitive (10-point) |1280 x 800 (wxga) |mali-400 mp |mtk6580 |1.3ghz,quad core |0.5210 kg |24.00 x 17.00 x 1.04 cm / 9.45 x 6.69 x 0.41 inches |2gb |tf card up to 32gb (not included) |3.7v / 5000mah, li-ion polymer battery |32gb |dual sim,dual standby,standard sim card slot 
hipo q64 android 5.1 tablet pc allwinner a64 quad core 1.3ghz 1gb ram 16gb rom bluetooth 4.0 otg wifi functions ( built-in 16gb tf card )||android 5.1 ||$105.18||||||||||1024x600 ||allwinner a64|quad core |0.537 kg |26.50 x 16.50 x 0.60 cm / 10.43 x 6.5 x 0.24 inches |1gb ||4800mah |16gb |
veidoo v706 - m4w 7.0 inch 3g phablet|phablet |android 6.0 |veidoo |$64.57||wcdma 850/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm,wcdma |802.11b/g/n wireless internet |0.3mp |2.0mp (with flash light) |7 inch |capacitive |1024 x 600 (wsvga) |mali-400 |mtk8321 |1.3ghz,quad core |0.2790 kg |18.80 x 10.70 x 1.08 cm / 7.4 x 4.21 x 0.43 inches |1gb |tf card up to 32gb (not included) |3.7v / 2500mah |8gb |dual sim,dual standby,yes (2 x standard sim card slot) 
original teclast series us plug power adapter 5v / 2.5a output||||$6.05||||||||||||||||||||
great wall l782 4g phablet 2gb ram 16gb rom|phablet |android 4.4 |great wall |$128.4||built in 3g (wcdma) |gsm 850/900/1800/1900mhz wcdma 850/900/1900/2100mhz fdd-lte 800/850/900/1700/1800/1900/2100/2600mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |2.0mp |5.0mp |7.85 inch |capacitive |1024 x 768 (xga) |adreno 306 |msm8916 |1.2ghz,cortex a53,quad core |0.387 kg |20.20 x 13.60 x 0.89 cm / 7.95 x 5.35 x 0.35 inches |2gb |tf card up to 32gb (not included) |5000mah |16gb |dual sim,dual standby,yes (1 x micro sim card slot and 1 x sim card slot) 
teclast tbook 16 power tablet pc|drawing,tablet pc,umpc,with usb port |android 6.0,windows 10 |teclast |$289.99|||||802.11b/g/n wireless internet |2.0mp |5.0mp |11.6 inch |capacitive (10-point),ips |1920 x 1080 (fhd) |intel hd graphic(gen8) |intel atom x7-z8750 |1.6ghz,quad core |0.8970 kg |30.30 x 17.95 x 1.00 cm / 11.93 x 7.07 x 0.39 inches |8gb |tf card up to 128gb (not included) |3.8 / 8500mah built-in polymer lithium-ion battery |64gb |
teclast x10 quad core 3g phablet|phablet |android 6.0 |teclast |$75.99||wcdma 2100mhz |gsm900/1800mhz |gsm+wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp |10.1 inch |capacitive (5-point) |1280 x 800 (wxga) |mali-400 mp |mtk6580 |1.3ghz,quad core |0.5190 kg |23.40 x 17.00 x 1.05 cm / 9.21 x 6.69 x 0.41 inches |1gb |tf card up to 64gb (not included) |3.8v / 4900mah, li-ion polymer battery |16gb |dual sim,dual standby,standard sim card slot 
chuwi hi10 ultrabook tablet pc|ultrabook |android 5.1,windows 10 |chuwi |$173.45|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.1 inch |capacitive (10-point),ips,retina |1920 x 1200 (wuxga) |intel graphics |cherry trail z8300 |1.44ghz,quad core |0.474 kg |25.75 x 17.10 x 0.89 cm / 10.14 x 6.73 x 0.35 inches |4gb |tf card up to 128gb (not included) |8000mah(rated capacity 6500mah) |64gb |
716 kids tablet pc|kids tablet |android 4.4 ||$53.19|||||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch |capacitive |1024 x 600 (wsvga) |mali-400 |rk3126 |1.2ghz,quad core |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |512mb |tf card up to 32gb (not included) |3.7v / 3000mah |8gb |
android 4.1 7 inch wsvga rk2928 s7502 tablet pc dual cameras 512mb ram + 4gb rom bluetooth|tablet pc |android 4.1 ||$42.74||not built-in 3g (support external 3g) |||802.11b/g/n wireless internet |0.3mp |0.3mp |7 inch |capacitive |1024 x 600 (wsvga) ||rk2928 |single core,1ghz |0.27 kg |18.3 x 12.1 x 1.0 cm |512mb |tf card up to 32gb (not included) |1500mah li-ion battery |4gb |
lenovo yoga book x90f 2 in 1 tablet pc||||$507.51||||||||||||||||||||
onda v10 4g phablet|phablet |android 5.1 |onda |$119.99|lte-fdd 1920-2170mhz td-lte 2555-2575mhz, 2300-2320mhz |wcdma 900/1800mhz td-scdma 900/1800/1900/2100mhz |gsm 900/1800/1900mhz |gsm + wcdma + td-scdma + lte-fdd + td-lte |802.11 a/b/g/n/ac wireless internet |0.3mp |2.0mp |10.1 inch |capacitive (5-point),ips |1280 x 800 (wxga) ||mtk6735 |1.3ghz,cortex a53,quad core |0.5350 kg |23.90 x 16.90 x 0.80 cm / 9.41 x 6.65 x 0.31 inches |1gb |tf card up to 128gb (not included) |3.7 / 6000mah built-in polymer lithium-ion battery |16gb |dual sim,dual standby,standard sim card slot 
cube wp10 4g phablet|phablet |windows 10 |cube |$109.99|fdd-lte 1800/2100mhz |wcdma 2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd lte |802.11b/g/n wireless internet |2.0mp |5.0mp (with flash light and auto focus) |6.98 inch |capacitive |1280 x 720 (hd 720) |adreno 304 |msm8909 |1.3ghz,quad core |0.248 kg |18.77 x 9.77 x 0.76 cm / 7.39 x 3.85 x 0.3 inches |2gb |tf card up to 128gb (not included) |4.35v 2850mah |16gb |dual sim,dual standby,yes (1 x nano sim card slot and 1 x micro sim card slot) 
iaiwai a25 3g phablet|phablet |android 4.4 |iaiwai |$105.2||wcdma 850/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |ieee 802.11b/g/n |2.0mp |5.0mp |10.1 inch |capacitive (10-point) |1280 x 800 (wxga) ||mtk6582 |1.3ghz,quad core |0.5130 kg |24.02 x 17.02 x 0.93 cm / 9.46 x 6.7 x 0.37 inches |1gb |tf card up to 64gb (not included) |4000mah, li-ion polymer battery |16gb |dual sim,dual standby,standard sim card slot 
gbtiger l701 kids tablet pc||android 4.4 ||$62.82||||||||||1024x600 ||allwinner a33 |quad core |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches |512mb ||2200mah |8gb |
voyo x7 3g phablet|phablet |android 5.0 |voyo |$92.63||wcdma 2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp |7 inch |capacitive (5-point) |1920 x 1200 (wuxga) |mali-400 |mtk6582 |1.3ghz,quad core |0.2590 kg |18.50 x 10.80 x 0.80 cm / 7.28 x 4.25 x 0.31 inches |2gb |tf card up to 128gb (not included) |4000mah, li-ion polymer battery |32gb |dual sim,dual standby,yes (2 x standard sim card slot) 
lenovo tb3 - x70f tablet pc|tablet pc |android 6.0 |lenovo |$273.85|||||802.11 a/b/g/n/ac wireless internet |5.0mp |8.0mp |10.1 inch |capacitive (10-point) |1920 x 1200 (wuxga) |mali-t720 |mtk8161 |1.3ghz,quad core |0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |2gb |tf card up to 64gb (not included) |7000mah, li-ion polymer battery |16gb |
onda v80 se tablet pc|tablet pc |android 5.1 |onda |$109.66|||||802.11b/g/n wireless internet |2.0mp |0.3mp |8 inch |capacitive (10-point) |1920 x 1080 (fhd) ||a64 |1.3ghz,quad core |0.2990 kg |21.30 x 12.60 x 1.00 cm / 8.39 x 4.96 x 0.39 inches |2gb |tf card up to 128gb (not included) |3.7v / 4200mah, li-ion polymer battery |32gb |
chuwi hi10 plus tablet pc||windows 10 + android 5.1 |chuwi |$198.66|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.8 inch |capacitive (10-point),ips |1920 x 1280 |intel hd graphics 400 |intel cherry trail x5-z8350 |1.44ghz,quad core |1.1670 kg |27.50 x 18.40 x 0.80 cm / 10.83 x 7.24 x 0.31 inches |4gb |tf card up to 128gb (not included) |3.7v / 8400mah |64gb |
gbtiger l701 kids tablet pc||android 4.4 ||$48.99||||||||||1024x600 ||allwinner a33 |quad core |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches |512mb ||2200mah |8gb |
excelvan 711 kids tablet pc|kids tablet |android 4.4 |excelvan |$59.39|||||802.11b/g/n wireless internet |2.0mp |2.0mp |7 inch |capacitive (5-point) |1024 x 600 (wsvga) |opengl es 2.0 |rk3126 |1.2ghz,quad core |0.3500 kg |23.00 x 13.00 x 1.20 cm / 9.06 x 5.12 x 0.47 inches |512mb |tf card up to 64gb (not included) |3000mah |8gb |
chuwi hi12 12.0 inch tablet pc|tablet pc |windows 10 + android 5.1 |chuwi |$229.99|||||802.11b/g/n wireless internet |2.0mp |5.0mp |12 inch |capacitive (10-point),ips |2160 x 1440 |intel hd graphic(gen8) |intel cherry trail x5-z8350 |1.44ghz,quad core |0.8410 kg |29.90 x 20.20 x 1.00 cm / 11.77 x 7.95 x 0.39 inches |4gb |tf card up to 128gb (not included) |3.7v / 11000mah |64gb |
gbtiger l701 kids tablet pc||android 4.4 ||$60.26||||||||||1024x600 ||allwinner a33 |quad core |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches |512mb ||2200mah |8gb |
lenovo tb3 730f tablet pc|tablet pc |android 6.0 |lenovo |$107.02|||||802.11b/g/n wireless internet |2.0mp |5.0mp |7 inch |capacitive (5-point) |1024 x 600 (wsvga) |mali-t720 |mtk8161p |1ghz,quad core |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |1gb |tf card up to 32gb (not included) |3.7v / 3450mah, li-ion polymer battery |16gb |
voyo q101 4g phablet|phablet |android 6.0 |voyo |$99.99|fdd-lte 1800/2100/2600mhz,td-lte band 38/39/40/41 |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+td-lte+fdd-lte |wifi 802.11a/b/g/n wireless internet |2.0mp |5.0mp (with flash light and auto focus) |10.1 inch |capacitive (5-point) |1920 x 1200 (wuxga) |mali-720 ||1.5ghz,octa core |0.4600 kg |24.20 x 17.20 x 0.90 cm / 9.53 x 6.77 x 0.35 inches |2gb |tf card up to 64gb (not included) |5000mah li-ion polymer battery |32gb |dual sim,dual standby,standard sim card slot 
7 inch gpd q9 game tablet pc|game tablet |android 4.4 |gpd |$127.31|||||802.11b/g/n wireless internet |0.3mp ||7 inch ||1024 x 600 (wsvga) ||rk3288 |1.8ghz,quad core |0.3960 kg |24.10 x 12.00 x 1.50 cm / 9.49 x 4.72 x 0.59 inches |2gb ||5000mah |16gb |
