@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
"5.7 inch",SCREEN_SIZE
"386 ppi",SCREEN_PPI
"2.5d arc screen,capacitive",SCREEN_TYPE
"13.0mp,with flash light",CAMERA_BACK
"elephone s8 4g phablet",TITLE
"xiaomi redmi 4 4g smartphone",TITLE
"$130.74",PRICE
"4100mah (typ) / 4000mah (min)",BATTERY_CAPACITY
"qualcomm snapdragon 430",CPU
"14.13 x 6.96 x 0.89 cm / 5.56 x 2.74 x 0.35 inches",PRODUCT_SIZE
"296",SCREEN_PPI
"geotel note 4g phablet",TITLE
"geotel",BRAND
"2.4ghz/5ghz wifi,3g,4g,bluetooth 4.0,gps,gsm",WIRELESS_CONNECTIVITY
"1 x 3200mah",BATTERY_CAPACITY
"1.25ghz,quad core",CPU_CORES
"0.1109 kg",WEIGHT
"15.29 x 7.68 x 0.82 cm / 6.02 x 3.02 x 0.32 inches",PRODUCT_SIZE
"homtom ht20 pro 4g smartphone",TITLE
"$126.99",PRICE
"3g,4g,a-gps,bluetooth 4.0,gps,gsm,lte,wifi",WIRELESS_CONNECTIVITY
"1 x 3500mah battery ( 5v / 1a charger）",BATTERY_CAPACITY
"0.2220 kg",WEIGHT
"15.20 x 7.60 x 1.52 cm / 5.98 x 2.99 x 0.6 inches",PRODUCT_SIZE
"$64.99",PRICE
"$119.99",PRICE
"16.42 x 8.28 x 0.85 cm / 6.46 x 3.26 x 0.33 inches",PRODUCT_SIZE
"oukitel u16 max 4g phablet",TITLE
"$129.99",PRICE
"16.50 x 8.30 x 0.91 cm / 6.5 x 3.27 x 0.36 inches",PRODUCT_SIZE
"oukitel u20 plus 4g phablet",TITLE
"$93.99",PRICE
"3300mah",BATTERY_CAPACITY
"mtk6737t",CPU
"13.0mp + 0.3mp",CAMERA_BACK
"15.40 x 7.70 x 0.85 cm / 6.06 x 3.03 x 0.33 inches",PRODUCT_SIZE
"$67.09",PRICE
"$199.93",PRICE
"$7.99",PRICE
"elephone s3 4g smartphone",TITLE
"$184.86",PRICE
"2100mah",BATTERY_CAPACITY
"14.20 x 7.05 x 0.83 cm / 5.59 x 2.78 x 0.33 inches",PRODUCT_SIZE
"5.2 inch",SCREEN_SIZE
"asus zenfone selfie zd551kl 4g phablet",TITLE
"adreno-405",GPU
"msm8939 64bit",CPU
"1.5ghz,1ghz,octa core",CPU_CORES
"0.1682 kg",WEIGHT
"15.65 x 7.72 x 1.08 cm / 6.16 x 3.04 x 0.43 inches",PRODUCT_SIZE
"capacitive,corning gorilla glass,ips",SCREEN_TYPE
"xiaomi mi5s plus 4g phablet 64gb rom",TITLE
"$362.32",PRICE
"gsm+cdma+wcdma+fdd-lte+td-lte",NETWORK_TYPE
"4.0mp, f / 2.0",CAMERA_FRONT
"$230.31",PRICE
"0.1450 kg",WEIGHT
"14.84 x 7.32 x 0.73 cm / 5.84 x 2.88 x 0.29 inches",PRODUCT_SIZE
"xiaomi redmi note 4 4g phablet",TITLE
"$173.99",PRICE
"gsm b2/b3/b8",NETWORK_2G
"2.1ghz,deca core",CPU_CORES
"0.1730 kg",WEIGHT
"oukitel k6000 plus 4g phablet",TITLE
"$169.99",PRICE
"6080mah",BATTERY_CAPACITY
"0.2100 kg",WEIGHT
"15.70 x 7.60 x 0.98 cm / 6.18 x 2.99 x 0.39 inches",PRODUCT_SIZE
"$85.45",PRICE
"$341.35",PRICE
"wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b8 900mhz",NETWORK_3G
"$60.14",PRICE
"13.96 x 6.69 x 9.40 cm / 5.5 x 2.63 x 3.7 inches",PRODUCT_SIZE
"fdd-lte b1/b3/b4/b5/b7/b20",NETWORK_4G
"nomu s30 4g phablet",TITLE
"$263.4",PRICE
"2.4ghz/5ghz wifi,3g,4g,bluetooth 4.0,gps,gsm,nfc",WIRELESS_CONNECTIVITY
"5000mah built-in",BATTERY_CAPACITY
"13.0mp ( sw 16.0mp ) with flash light and af",CAMERA_BACK
"0.2770 kg",WEIGHT
"16.31 x 8.30 x 1.34 cm / 6.42 x 3.27 x 0.53 inches",PRODUCT_SIZE
"$233.86",PRICE
"vernee thor 4g smartphone",TITLE
"gsm 900/1900/2100mhz",NETWORK_2G
"2800mah built-in battery",BATTERY_CAPACITY
"1.3ghz,cortex-a53,octa core",CPU_CORES
"0.1400 kg",WEIGHT
"14.10 x 7.00 x 0.70 cm / 5.55 x 2.76 x 0.28 inches",PRODUCT_SIZE
"capacitive (5-points),corning gorilla glass",SCREEN_TYPE
"oukitel k6000 pro 4g phablet",TITLE
"3g,4g,bluetooth,gps,gsm",WIRELESS_CONNECTIVITY
"6000mah",BATTERY_CAPACITY
"13.0mp (sw 16.0mp) with dual flash and af",CAMERA_BACK
"0.2140 kg",WEIGHT
"15.43 x 7.67 x 0.98 cm / 6.07 x 3.02 x 0.39 inches",PRODUCT_SIZE
"2.5d arc screen,capacitive (5-points),ogs",SCREEN_TYPE
"oukitel u22 3g phablet",TITLE
"3g,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"1 x 2700mah",BATTERY_CAPACITY
"5.0mp ( sw 8mp ) + 2.0mp",CAMERA_FRONT
"0.1870 kg",WEIGHT
"15.40 x 7.60 x 0.96 cm / 6.06 x 2.99 x 0.38 inches",PRODUCT_SIZE
"doogee x9 pro 4g phablet",TITLE
"$107.3",PRICE
"8.0mp（sw 13.0mp）",CAMERA_BACK
"0.155 kg",WEIGHT
"15.50 x 7.70 x 0.90 cm / 6.1 x 3.03 x 0.35 inches",PRODUCT_SIZE
"$90.26",PRICE
"$203.87",PRICE
"vernee apollo lite 4g+ phablet",TITLE
"3180mah",BATTERY_CAPACITY
"deca core",CPU_CORES
"0.1780 kg",WEIGHT
"15.20 x 7.60 x 0.90 cm / 5.98 x 2.99 x 0.35 inches",PRODUCT_SIZE
"2.5d arc screen,capacitive (5-points),corning gorilla glass 3",SCREEN_TYPE
"hafury mix 3g smartphone",TITLE
"hafury",BRAND
"3g,bluetooth,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"14.51 x 7.30 x 0.98 cm / 5.71 x 2.87 x 0.39 inches",PRODUCT_SIZE
"gv18 aplus smart watch phone",TITLE
"watch phone",DEVICE_TYPE
"$17.99",PRICE
"bluetooth",WIRELESS_CONNECTIVITY
"gsm",NETWORK_TYPE
"0.0650 kg",WEIGHT
"23.50 x 3.95 x 1.23 cm / 9.25 x 1.56 x 0.48 inches",PRODUCT_SIZE
"1.54 inch",SCREEN_SIZE
"$429.99",PRICE
"$146.99",PRICE
"$150.39",PRICE
"3g,4g,bluetooth,gps,gsm,wifi,lte",WIRELESS_CONNECTIVITY
"oneplus 5 4g phablet",TITLE
"$509.99",PRICE
"fdd b1 2100mhz,fdd b12 700mhz,fdd b17 700mhz,fdd b2 1900mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b4 1700mhz,fdd b5 850mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b19 800mhz,tdd b38 2600mhz,tdd b39 1900mhz,tdd b40 2300mhz,tdd b41 2500mhz",NETWORK_4G
"cdma,fdd-lte,gsm,td-scdma,tdd-lte,wcdma",NETWORK_TYPE
"3300mah dash charge (5v 4a)",BATTERY_CAPACITY
"20.0mp + 16.0mp",CAMERA_BACK
"15.42 x 7.41 x 0.73 cm / 6.07 x 2.92 x 0.29 inches",PRODUCT_SIZE
"401ppi",SCREEN_PPI
"elephone s7 mini 4g smartphone",TITLE
"$130.29",PRICE
"2450mah built-in",BATTERY_CAPACITY
"14.40 x 6.88 x 0.76 cm / 5.67 x 2.71 x 0.3 inches",PRODUCT_SIZE
"leagoo m8 pro 4g phablet",TITLE
"$88.99",PRICE
"1 x 3500mah",BATTERY_CAPACITY
"13.0mp + 5.0mp with flash light and af",CAMERA_BACK
"15.40 x 7.90 x 0.88 cm / 6.06 x 3.11 x 0.35 inches",PRODUCT_SIZE
"oukitel u13 4g phablet",TITLE
"0.168 kg",WEIGHT
"14.90 x 7.57 x 0.81 cm / 5.87 x 2.98 x 0.32 inches",PRODUCT_SIZE
"xiaomi mi note 2 4g phablet",TITLE
"$525.89",PRICE
"fdd-lte b1 / b2 / b3 / b4 / b5 / b7 / b8 / b12 / b13 / b17 / b18 / b19 / b20 / b25 / b26 / b28 / b29 / b30",NETWORK_4G
"wcdma b1/b2/b4/b5/b8",NETWORK_3G
"4070mah ( typ ) / 4000mah ( min )",BATTERY_CAPACITY
"22.5mp with flash light and af",CAMERA_BACK
"0.1660 kg",WEIGHT
"leagoo m8 3g phablet",TITLE
"0.1690 kg",WEIGHT
"15.45 x 7.98 x 0.88 cm / 6.08 x 3.14 x 0.35 inches",PRODUCT_SIZE
"2.5d arc screen,corning gorilla glass,ips",SCREEN_TYPE
"$151.0",PRICE
"$142.99",PRICE
"leagoo m7 3g phablet",TITLE
"$83.4",PRICE
"5.0mp + 8.0mp",CAMERA_BACK
"0.2000 kg",WEIGHT
"15.70 x 7.80 x 0.80 cm / 6.18 x 3.07 x 0.31 inches",PRODUCT_SIZE
"oukitel k10000 pro 4g phablet",TITLE
"10000mah reverse charging",BATTERY_CAPACITY
"0.2970 kg",WEIGHT
"16.20 x 7.80 x 1.40 cm / 6.38 x 3.07 x 0.55 inches",PRODUCT_SIZE
"oukitel u15s 4g phablet",TITLE
"$128.92",PRICE
"15.10 x 7.60 x 0.76 cm / 5.94 x 2.99 x 0.3 inches",PRODUCT_SIZE
"$110.32",PRICE
"lenovo moto z play 4g phablet",TITLE
"2.4ghz/5ghz wifi,3g,4g,bluetooth,nfc,wifi",WIRELESS_CONNECTIVITY
"fdd-lte b1/b3/b7/b26",NETWORK_4G
"3510mah",BATTERY_CAPACITY
"2.0ghz",CPU_CORES
"tf card up to 2tb (not included)",EXTERNAL_MEMORY
"with flash light and pdaf",CAMERA_BACK
"15.64 x 7.64 x 0.69 cm / 6.16 x 3.01 x 0.27 inches",PRODUCT_SIZE
"$126.08",PRICE
"umidigi z pro 4g phablet",TITLE
"$263.35",PRICE
"2.4ghz/5ghz wifi,3g,4g,bluetooth,gps,gsm,lte",WIRELESS_CONNECTIVITY
"3780mah built-in",BATTERY_CAPACITY
"helio x27",CPU
"dual 13.0mp with flash light and af",CAMERA_BACK
"0.1758 kg",WEIGHT
"15.44 x 7.67 x 0.87 cm / 6.08 x 3.02 x 0.34 inches",PRODUCT_SIZE
"0.1680 kg",WEIGHT
"$67.89",PRICE
"$140.51",PRICE
"$226.79",PRICE
"elephone p9000 us version 4g phablet",TITLE
"fdd-lte b1/b2/b3/b4/b5/b7/b8/b17/b20",NETWORK_4G
"vernee apollo 4g phablet",TITLE
"3180mah built-in",BATTERY_CAPACITY
"helio x25",CPU
"2.5ghz,deca core",CPU_CORES
"21.0mp with flash light and af",CAMERA_BACK
"0.1880 kg",WEIGHT
"15.20 x 7.56 x 0.93 cm / 5.98 x 2.98 x 0.37 inches",PRODUCT_SIZE
"2560x1440",SCREEN_RESOLUTION
"$130.39",PRICE
