@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,PRICE,CAMERA_FRONT,OS,SCREEN_TYPE,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,PRODUCT_SIZE,BATTERY_CAPACITY,NETWORK_3G,GPU,NETWORK_4G,NETWORK_2G,SIM_CARD_TYPE,SCREEN_SIZE,ROM,EXTERNAL_MEMORY,SCREEN_RESOLUTION,CPU_CORES,TITLE,WEIGHT,WIFI,RAM}

@data
"lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39), 700 (b28), td-lte3500 (b42)",NETWORK_4G
"samsung galaxy a3 (2017) dual sim lte sm-a320fd black",TITLE
"260 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)",NETWORK_4G
"samsung galaxy s6 sm-g920f black",TITLE
"421 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)",NETWORK_4G
"samsung galaxy s6 edge sm-g925f black",TITLE
"425 €",PRICE
"non-removable li-ion 2600 mah battery",BATTERY_CAPACITY
"142.1 x 70.1 x 7 mm (5.59 x 2.76 x 0.28 in)",PRODUCT_SIZE
"132 g (4.66 oz)",WEIGHT
"5.1 inches (~71.7% screen-to-body ratio)",SCREEN_SIZE
"samsung galaxy j2 dual sim 3g j200h-ds white",TITLE
"microsd, up to 128 gb",EXTERNAL_MEMORY
"124 €",PRICE
"li-ion 2000 mah battery",BATTERY_CAPACITY
"2 mp",CAMERA_FRONT
"136.5 x 69 x 8.4 mm",PRODUCT_SIZE
"130 g",WEIGHT
"4.7 inches (~64.7% screen-to-body ratio)",SCREEN_SIZE
"540 x 960 pixels (~234 ppi pixel density)",SCREEN_RESOLUTION
"exynos 3475",CPU
"samsung galaxy j1 (2016) lte sm-j120fn black",TITLE
"151 €",PRICE
"lte band 2100 (b1), 850 (b5), 1800 (b3), 2600 (b7), 900 (b8), 800 (b20)",NETWORK_4G
"micro-sim",SIM_CARD_TYPE
"samsung galaxy s7 32gb duos sm-g930fd black",TITLE
"samsung galaxy core prime value edition sm-g361f silver",TITLE
"120 €",PRICE
"hsdpa 850 / 900 / 2100",NETWORK_3G
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900)",NETWORK_4G
"130.8 x 67.9 x 8.8 mm (5.15 x 2.67 x 0.35 in)",PRODUCT_SIZE
"130 g (4.59 oz)",WEIGHT
"4.5 inches (~64.9% screen-to-body ratio)",SCREEN_SIZE
"480 x 800 pixels (~207 ppi pixel density)",SCREEN_RESOLUTION
"vivante gc7000ul",GPU
"marvell armada pxa1908",CPU
"android os, v5.1 (lollipop)",OS
"quad-core 1.2 ghz cortex-a53",CPU_CORES
"samsung galaxy j1 (2016) duos sm-j120h/ds gold",TITLE
"142 €",PRICE
"samsung galaxy a3 (2017) lte sm-a320f black",TITLE
"samsung galaxy j1 mini prime (2016) duos sm-j106h-ds gold",TITLE
"samsung galaxy j3 (2016) dual sim sm-j320f/ds white",TITLE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) sim1",NETWORK_4G
"5 mp",CAMERA_FRONT
"142.3 x 71 x 7.9 mm (5.60 x 2.80 x 0.31 in)",PRODUCT_SIZE
"5.0 inches (~68.2% screen-to-body ratio)",SCREEN_SIZE
"samsung galaxy grand prime plus dual sim lte sm-g532f/ds gold",TITLE
"5 mp, led flash",CAMERA_FRONT
"144.8 x 72.1 x 8.9 mm (5.70 x 2.84 x 0.35 in)",PRODUCT_SIZE
"5.0 inches (~66.0% screen-to-body ratio)",SCREEN_SIZE
"540 x 960 pixels (~220 ppi pixel density)",SCREEN_RESOLUTION
"mali-t720mp2",GPU
"mediatek mt6737t",CPU
"samsung galaxy j3 (2016) lte sm-j320f black",TITLE
"samsung galaxy j1 mini (2016) duos sm-j105h-ds gold",TITLE
"microsd, up to 128 gb (uses sim 2 slot)",EXTERNAL_MEMORY
"86 €",PRICE
"quad-core 1.2 ghz",CPU_CORES
"samsung galaxy s6 sm-g920f white",TITLE
"435 €",PRICE
"samsung galaxy j2 dual sim 3g j200h-ds gold",TITLE
"samsung galaxy j1 mini prime (2016) duos sm-j106h-ds black",TITLE
"samsung galaxy j2 (2016) dual sim sm-j210f/ds black",TITLE
"205 €",PRICE
"sony xperia xa1 dual sim 16gb g3112 black",TITLE
"v4.2, a2dp, aptx, le",BLUETOOTH_VERSION
"286 €",PRICE
"non-removable li-ion 2300 mah battery",BATTERY_CAPACITY
"23 mp, f/2.0, 24mm, phase detection and laser autofocus, led flash",CAMERA_BACK
"'8 mp, f/2.0, 23mm, autofocus, 1/4'' sensor size, 1080p'",CAMERA_FRONT
"145 x 67 x 8 mm (5.71 x 2.64 x 0.31 in)",PRODUCT_SIZE
"5.0 inches (~70.9% screen-to-body ratio)",SCREEN_SIZE
"mali-t880mp2",GPU
"mediatek mt6757 helio p20",CPU
"android os, v7.0 (nougat)",OS
"octa-core (4x2.3 ghz cortex-a53 & 4x1.6 ghz cortex-a53)",CPU_CORES
"sony xperia xa dual sim f3116 black",TITLE
"wi-fi 802.11 a/b/g/n, wi-fi direct, dlna, hotspot",WIFI
"197 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"13 mp, phase detection autofocus, led flash",CAMERA_BACK
"'8 mp, 1/4'' sensor size, autofocus, 1080p, hdr'",CAMERA_FRONT
"143.6 x 66.8 x 7.9 mm (5.65 x 2.63 x 0.31 in)",PRODUCT_SIZE
"137.4 g (4.83 oz)",WEIGHT
"5.0 inches (~71.8% screen-to-body ratio)",SCREEN_SIZE
"mali-t860mp2",GPU
"mediatek mt6755 helio p10",CPU
"octa-core 2.0 ghz cortex-a53",CPU_CORES
"sony xperia x performance dual sim 64gb f8132 black",TITLE
"476 €",PRICE
"gsm 850 / 900 / 1800 / 1900 sim 1 & sim 2 (dual sim model only)",NETWORK_2G
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 2700 mah battery",BATTERY_CAPACITY
"23 mp, f/2.0, 24mm, phase detection autofocus, led flash",CAMERA_BACK
"13 mp, f/2.0, 22mm, 1/3",CAMERA_FRONT
"143.7 x 70.4 x 8.7 mm (5.66 x 2.77 x 0.34 in)",PRODUCT_SIZE
"164.4 g (5.78 oz)",WEIGHT
"qualcomm msm8996 snapdragon 820",CPU
"dual-core 2.15 ghz kryo & dual-core 1.6 ghz kryo",CPU_CORES
"sony xperia xa1 dual sim 16gb g3112 white",TITLE
"273 €",PRICE
"sony xperia x dual sim 64gb f5122 black",TITLE
"279 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 2620 mah battery",BATTERY_CAPACITY
"142.7 x 69.4 x 7.9 mm (5.62 x 2.73 x 0.31 in)",PRODUCT_SIZE
"153 g (5.40 oz)",WEIGHT
"5.0 inches (~69.6% screen-to-body ratio)",SCREEN_SIZE
"adreno 510",GPU
"qualcomm msm8956 snapdragon 650",CPU
"dual-core 1.8 ghz cortex-a72 & quad-core 1.4 ghz cortex-a53",CPU_CORES
"sony xperia x performance lte 32gb f8131 rose gold",TITLE
"485 €",PRICE
"sony xperia z1 3g c6902 white",TITLE
"wi-fi 802.11 a/b/g/n/ac, wi-fi direct, dlna, wi-fi hotspot",WIFI
"246 €",PRICE
"20.7 mp, 5248 х 3936 pixels, autofocus, led flash",CAMERA_BACK
"yes, 2 mp, 1080p@30fps",CAMERA_FRONT
"144 x 74 x 8.5 mm",PRODUCT_SIZE
"170 g",WEIGHT
"tft capacitive touchscreen, 16m colors",SCREEN_TYPE
"1080 x 1920 pixels, 5.0 inches (~441 ppi pixel density)",SCREEN_SIZE
"qualcomm msm8974 snapdragon 800",CPU
"android os, v4.2 (jelly bean), v4.3, upgradable to v4.4.2 (kitkat)",OS
"quad-core 2.2 ghz krait 400",CPU_CORES
"sony xperia x dual sim 64gb f5122 lime",TITLE
"sony xperia xa dual sim f3116 rose gold",TITLE
"8 mp, 1/4",CAMERA_FRONT
"sony xperia x performance dual sim 64gb f8132 white",TITLE
"sony xperia xa1 dual sim 32gb g3116 white",TITLE
"sony xperia x performance lte 32gb f8131 white",TITLE
"sony xperia xa dual sim f3116 white",TITLE
"sony xperia x performance dual sim 64gb f8132 lime",TITLE
"sony xperia xa1 dual sim 16gb g3116 black",TITLE
"huawei honor 8 lite dual sim 32gb pra-al00 white",TITLE
"v4.1, a2dp, edr, le",BLUETOOTH_VERSION
"208 €",PRICE
"lte band 1800 / 2100 / 2600 / 2300 / 2500",NETWORK_4G
"12 mp, f/2.0, autofocus, led flash",CAMERA_BACK
"8 mp, f/2.0, 1080p",CAMERA_FRONT
"147.2 x 72.9 x 7.6 mm (5.80 x 2.87 x 0.30 in)",PRODUCT_SIZE
"147 g (5.19 oz)",WEIGHT
"5.2 inches (~69.5% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~424 ppi pixel density)",SCREEN_RESOLUTION
"mali-t830 mp2",GPU
"hisilicon kirin 655",CPU
"octa-core (4x2.1 ghz cortex-a53 & 4x1.7 ghz cortex-a53)",CPU_CORES
"huawei p10 lte 64gb vtr-l09 silver",TITLE
"wi-fi 802.11 a/b/g/n/ac, dual-band, dlna, wifi direct, hotspot",WIFI
"554 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 3200 mah battery",BATTERY_CAPACITY
"dual 20 mp + 12 mp, f/2.2, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"145.3 x 69.3 x 7 mm (5.72 x 2.73 x 0.28 in)",PRODUCT_SIZE
"ips-neo lcd capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.1 inches (~71.2% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~432 ppi pixel density)",SCREEN_RESOLUTION
"mali-g71 mp8",GPU
"hisilicon kirin 960",CPU
"octa-core (4x2.4 ghz cortex-a73 & 4x1.8 ghz cortex-a53)",CPU_CORES
"huawei nova smart dual sim 16gb dig-l21 silver",TITLE
"4.1, a2dp",BLUETOOTH_VERSION
"200 €",PRICE
"lte band 1(2100), 3(1800), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-po 3020 mah battery",BATTERY_CAPACITY
"5 mp, 1080p",CAMERA_FRONT
"143.5 x 69.9 x 7.6 mm (5.65 x 2.75 x 0.30 in)",PRODUCT_SIZE
"amoled capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.0 inches (~68.7% screen-to-body ratio)",SCREEN_SIZE
"android 6.0 (marshmallow)",OS
"huawei y5 y560-l02 black white",TITLE
"v4.0, a2dp, le",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, dlna, hotspot",WIFI
"92 €",PRICE
"lte band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",NETWORK_4G
"134.6 x 66.6 x 10 mm",PRODUCT_SIZE
"145 g",WEIGHT
"4.5 inches (~61.7% screen-to-body ratio)",SCREEN_SIZE
"480 x 854 pixels (~217.7 ppi pixel density)",SCREEN_RESOLUTION
"adreno 306",GPU
"qualcomm msm8916 snapdragon 410",CPU
"android os, v4.4.2 (kitkat)",OS
"huawei honor 8 lite dual sim 32gb pra-al00 blue",TITLE
"212 €",PRICE
"huawei p10 dual sim 64gb vtr-l29 gray",TITLE
"516 €",PRICE
"huawei honor 8 lite dual sim 32gb 4gb ram pra-al00x blue",TITLE
"252 €",PRICE
"huawei p9 lite (2017) dual sim pra-lx1 white",TITLE
"lte band 1(2100), 3(1800), 7(2600), 8(900), 3(1800), 20(800), 28(700)",NETWORK_4G
"huawei honor 8 lite dual sim lte 64gb white",TITLE
"292 €",PRICE
"huawei p10 dual sim 64gb vtr-l29 silver",TITLE
"552 €",PRICE
"huawei ascend p8 lite dual sim gold",TITLE
"166 €",PRICE
"lte band 1(2100), 3(1800), 4(1700/2100), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 2200 mah battery",BATTERY_CAPACITY
"13 mp, 4160 x 3120 pixels, autofocus, dual-led flash",CAMERA_BACK
"143 x 70.6 x 7.7 mm (5.63 x 2.78 x 0.30 in)",PRODUCT_SIZE
"5.0 inches (~68.3% screen-to-body ratio)",SCREEN_SIZE
"hisilicon kirin 620",CPU
"octa-core 1.2 ghz",CPU_CORES
"huawei p10 dual sim 64gb vtr-l29 gold",TITLE
"huawei honor 8 lite dual sim 32gb 4gb ram pra-al00x white",TITLE
"huawei nova smart dual sim 16gb dig-l21 gray",TITLE
"huawei p9 lite (2017) dual sim pra-lx1 black",TITLE
"huawei honor 8 lite dual sim 32gb pra-al00 black",TITLE
"huawei y6 pro dual sim tit-l01 black",TITLE
"non-removable li-po 4000 mah battery",BATTERY_CAPACITY
"13 mp, f/2.0, 28mm, autofocus, led flash",CAMERA_BACK
"143.1 x 71.8 x 9.7 mm (5.63 x 2.83 x 0.38 in)",PRODUCT_SIZE
"160 g (5.64 oz)",WEIGHT
"5.0 inches (~67.1% screen-to-body ratio)",SCREEN_SIZE
"mediatek mt6735p",CPU
"quad-core 1.3 ghz cortex-a53",CPU_CORES
"samsung galaxy s6 sm-g920f gold",TITLE
"samsung galaxy j3 (2016) dual sim sm-j320f/ds black",TITLE
"149 €",PRICE
"samsung galaxy a3 (2017) lte sm-a320fl gold",TITLE
"samsung galaxy s7 32gb sm-g930f black",TITLE
"samsung galaxy j1 ace duos sm-j110h black",TITLE
"123 €",PRICE
"li-ion 1800 mah battery",BATTERY_CAPACITY
"130.1 x 67.6 x 9.5 mm (5.08 x 2.69 x 0.35 in)",PRODUCT_SIZE
"122 g (4.30 oz)",WEIGHT
"4.3 inches (~59.8% screen-to-body ratio)",SCREEN_SIZE
"480 x 800 pixels (~217 ppi pixel density)",SCREEN_RESOLUTION
"spreadtrum",CPU
"android os, v4.4.4 (kitkat)",OS
"dual-core 1.2 ghz cortex-a7",CPU_CORES
"samsung galaxy j2 dual sim 3g j200h-ds black",TITLE
"samsung galaxy xcover 4 lte 16gb sm-g390f black",TITLE
"wi-fi 802.11 a/b/g/n, dual-band, wi-fi direct, hotspot",WIFI
"216 €",PRICE
"li-ion 2800 mah battery",BATTERY_CAPACITY
"146.2 x 73.3 x 9.7 mm (5.76 x 2.89 x 0.38 in)",PRODUCT_SIZE
"172 g (6.07 oz)",WEIGHT
"5.0 inches (~64.3% screen-to-body ratio)",SCREEN_SIZE
"quad-core 1.4 ghz",CPU_CORES
"samsung galaxy core 2 duos sm-g355h/ds black",TITLE
"130.3 x 68 x 9.8 mm",PRODUCT_SIZE
"138 g",WEIGHT
"480 x 800 pixels, 4.5 inches (~207 ppi pixel density)",SCREEN_SIZE
"samsung galaxy grand prime plus dual sim lte sm-g532f/ds silver",TITLE
"samsung galaxy j1 (2016) duos sm-j120h/ds white",TITLE
"samsung galaxy a3 (2017) lte sm-a320f gold",TITLE
"samsung galaxy a3 (2017) dual sim lte sm-a320f/ds gold",TITLE
"samsung galaxy grand prime plus dual sim lte sm-g532f/ds black",TITLE
"samsung galaxy j3 (2016) dual sim sm-j320f/ds gold",TITLE
"samsung galaxy a3 (2017) dual sim lte sm-a320f/ds black",TITLE
"samsung galaxy j1 (2016) duos sm-j120h/ds black",TITLE
"129 €",PRICE
"samsung galaxy a3 (2017) dual sim lte sm-a320f/ds blue",TITLE
"samsung galaxy s6 duos sm-g920fd blue",TITLE
"434 €",PRICE
"5.1 inches (~70.9% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2560 pixels (~576 ppi pixel density)",SCREEN_RESOLUTION
"android os",OS
"lg k7 dual sim 8gb x210ds black",TITLE
"106 €",PRICE
"removable li-ion 2125 mah battery",BATTERY_CAPACITY
"5 mp (f/2.6), autofocus, led flash",CAMERA_BACK
"143.6 x 72.5 x 9.1 mm (5.65 x 2.85 x 0.36 in)",PRODUCT_SIZE
"161 g (5.68 oz)",WEIGHT
"480 x 854 pixels (~196 ppi pixel density)",SCREEN_RESOLUTION
"adreno 304",GPU
"qualcomm msm8909 snapdragon 210",CPU
"quad-core 1.1 ghz cortex-a7",CPU_CORES
"lg k5 8gb x220 titanium black",TITLE
"97 €",PRICE
"removable li-ion 1900 mah battery",BATTERY_CAPACITY
"5 mp, f/2.8, autofocus, led flash",CAMERA_BACK
"2 mp, f/2.8",CAMERA_FRONT
"145 x 71.6 x 8.9 mm (5.71 x 2.82 x 0.35 in)",PRODUCT_SIZE
"128 g (4.52 oz)",WEIGHT
"5.0 inches (~66.4% screen-to-body ratio)",SCREEN_SIZE
"mediatek mt6582",CPU
"lg k8 lte 8gb dual sim k350nds black blue",TITLE
"v4.2, a2dp",BLUETOOTH_VERSION
"wi-fi 802.11 b/g/n, wi-fi direct, dlna, hotspot",WIFI
"116 €",PRICE
"5 mp, 720p",CAMERA_FRONT
"144.6 x 71.5 x 8.7 mm (5.69 x 2.81 x 0.34 in)",PRODUCT_SIZE
"157 g (5.54 oz)",WEIGHT
"5.0 inches (~66.7% screen-to-body ratio)",SCREEN_SIZE
"mediatek mt6735",CPU
"lg l60 dual sim black",TITLE
"li-ion 1700 mah battery",BATTERY_CAPACITY
"5 mp, 2592 х 1944 pixels, led flash",CAMERA_BACK
"124.1 x 66.3 x 12 mm (4.89 x 2.61 x 0.47 in)",PRODUCT_SIZE
"n/a",WEIGHT
"4.3 inches (~64.0% screen-to-body ratio)",SCREEN_SIZE
"dual-core 1.3 ghz",CPU_CORES
"lg k8 lte 8gb dual sim k350nds white",TITLE
"sony xperia xa dual sim f3116 lime",TITLE
"sony xperia xa1 dual sim 16gb g3116 gold",TITLE
"sony xperia x performance dual sim 64gb f8132 rose gold",TITLE
"sony xperia x performance lte 32gb f8131 black",TITLE
"sony xperia m5 dual sim e5663 white",TITLE
"wi-fi 802.11 a/b/g/n, dual-band, wi-fi direct, dlna, hotspot",WIFI
"microsd, up to 200 gb",EXTERNAL_MEMORY
"191 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 40(2300)",NETWORK_4G
"21.2 mp, 5312 x 3984, phase detection autofocus, led flash",CAMERA_BACK
"13 mp, autofocus; 1080p@30fps video",CAMERA_FRONT
"145 x 72 x 7.6 mm (5.71 x 2.83 x 0.30 in)",PRODUCT_SIZE
"142.6 g (5.04 oz)",WEIGHT
"powervr g6200",GPU
"mediatek mt6795 helio x10",CPU
"android os, v5.0 (lollipop)",OS
"sony xperia x dual sim 64gb f5122 white",TITLE
"sony xperia xa1 dual sim 16gb g3112 gold",TITLE
"sony xperia x dual sim 64gb f5122 rose gold",TITLE
"sony xperia xa1 dual sim 16gb g3116 white",TITLE
"263 €",PRICE
"sony xperia z5 dual sim e6633 white",TITLE
"v4.1, a2dp, apt-x",BLUETOOTH_VERSION
"326 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800)",NETWORK_4G
"non-removable li-ion 2900 mah battery",BATTERY_CAPACITY
"23 mp, 5520 х 4140 pixels, phase detection autofocus, led flash",CAMERA_BACK
"5.1 mp, 1080p, hdr",CAMERA_FRONT
"146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in)",PRODUCT_SIZE
"5.2 inches (~69.6% screen-to-body ratio)",SCREEN_SIZE
"adreno 430",GPU
"qualcomm msm8994 snapdragon 810",CPU
"android os, v5.1.1 (lollipop), planned upgrade to v6.0 (marshmallow)",OS
"quad-core 1.5 ghz cortex-a53 & quad-core 2 ghz cortex-a57",CPU_CORES
"huawei p10 plus lte 128gb vky-l09 silver",TITLE
"4.2, a2dp, le",BLUETOOTH_VERSION
"630 €",PRICE
"hsdpa 800 / 850 / 900 / 1700(aws) / 1800 / 1900 / 2100",NETWORK_3G
"non-removable li-ion 3750 mah battery",BATTERY_CAPACITY
"dual 20 mp + 12 mp, f/1.8, ois, leica optics, phase detection and laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"153.5 x 74.2 x 7 mm (6.04 x 2.92 x 0.28 in)",PRODUCT_SIZE
"165 g (5.82 oz)",WEIGHT
"5.5 inches (~71.6% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2560 pixels (~540 ppi pixel density)",SCREEN_RESOLUTION
"huawei honor 8 dual sim 32gb frd-al00 white",TITLE
"v4.2, a2dp, edr, le",BLUETOOTH_VERSION
"379 €",PRICE
"hsdpa 850 / 1700(aws) / 1900 / 2100",NETWORK_3G
"lte band 2(1900), 4(1700/2100), 5(850), 12(700), 17(700)",NETWORK_4G
"non-removable li-po 3000 mah battery",BATTERY_CAPACITY
"dual 12 mp, f/2.2, laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, f/2.4, 1.4 pixel size",CAMERA_FRONT
"145.5 x 71 x 7.5 mm (5.73 x 2.80 x 0.30 in)",PRODUCT_SIZE
"ltps capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.2 inches (~72.5% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~423 ppi pixel density)",SCREEN_RESOLUTION
"mali-t880 mp4",GPU
"hisilicon kirin 950",CPU
"octa-core (4x2.3 ghz cortex-a72 & 4x1.8 ghz cortex a53)",CPU_CORES
"huawei nova plus dual sim 32gb mla-l11 gray",TITLE
"386 €",PRICE
"lte band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 38(2600)",NETWORK_4G
"non-removable li-po 3340 mah battery",BATTERY_CAPACITY
"16 mp, f/2.0, phase detection autofocus, ois, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, f/2.0",CAMERA_FRONT
"151.8 x 75.7 x 7.3 mm (5.98 x 2.98 x 0.29 in)",PRODUCT_SIZE
"5.5 inches (~72.6% screen-to-body ratio)",SCREEN_SIZE
"adreno 506",GPU
"qualcomm msm8953 snapdragon 625",CPU
"huawei honor 8 dual sim 64gb frd-al10 black",TITLE
"422 €",PRICE
"huawei honor 8 dual sim 32gb frd-al00 gold",TITLE
"huawei p10 plus dual sim 128gb vky-l29 black",TITLE
"660 €",PRICE
"huawei p10 plus dual sim 128gb vky-l29 silver",TITLE
"640 €",PRICE
"huawei p9 dual sim lte 32gb eva-l19 rose gold",TITLE
"lte band 1(2100), 3(1800), 4(1700/2100), 7(2600), 20(800), 38(2600), 39(1900), 40(2300), b41",NETWORK_4G
"dual 12 mp, f/2.2, 27 mm, leica optics, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, f/2.4, 1080p",CAMERA_FRONT
"145 x 70.9 x 7 mm (5.71 x 2.79 x 0.28 in)",PRODUCT_SIZE
"5.2 inches (~72.9% screen-to-body ratio)",SCREEN_SIZE
"hisilicon kirin 955",CPU
"quad-core 2.5 ghz cortex-a72 & quad-core 1.8 ghz cortex-a53",CPU_CORES
"huawei mate 9 porsche design dual sim lon-l29 black",TITLE
"4.2, a2dp, edr, le",BLUETOOTH_VERSION
"1218 €",PRICE
"dual 20 mp +12 mp, f/2.2, 27mm, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, f/1.9, 1080p",CAMERA_FRONT
"152 x 75 x 7.5 mm (5.98 x 2.95 x 0.30 in)",PRODUCT_SIZE
"169 g (5.96 oz)",WEIGHT
"5.5 inches (~73.2% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2560 pixels (~534 ppi pixel density)",SCREEN_RESOLUTION
"huawei mate 9 dual sim 64gb mha-l29 gray",TITLE
"551 €",PRICE
"dual 20 mp +12 mp, f/2.2, ois, 2x zoom, leica optics, phase detection & laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"156.9 x 78.9 x 7.9 mm (6.18 x 3.11 x 0.31 in)",PRODUCT_SIZE
"190 g (6.70 oz)",WEIGHT
"5.9 inches (~77.5% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~373 ppi pixel density)",SCREEN_RESOLUTION
"huawei p10 plus dual sim 128gb vky-l29 blue",TITLE
"huawei honor 8 dual sim 64gb frd-al10 gold",TITLE
"huawei honor 8 dual sim 32gb frd-l09 white",TITLE
"409 €",PRICE
"hsdpa 900 / 1900 / 2100",NETWORK_3G
"huawei mate 9 dual sim 64gb mha-l29 silver",TITLE
"huawei p10 plus lte 128gb vky-l09 black",TITLE
"huawei honor 8 dual sim 64gb frd-al10 blue",TITLE
"oneplus 3t dual sim 64gb a3003 gold",TITLE
"wi-fi 802.11 a/b/g/n/ac, wi-fi direct, dlna, hotspot",WIFI
"474 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300)",NETWORK_4G
"gsm / hspa / evdo / lte",WIRELESS_CONNECTIVITY
"non-removable li-ion 3400 mah battery",BATTERY_CAPACITY
"16 mp, f/2.0, phase detection autofocus, ois, led flash",CAMERA_BACK
"16 mp, f/2.0, 1.0",CAMERA_FRONT
"152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in)",PRODUCT_SIZE
"158 g (5.57 oz)",WEIGHT
"optic amoled capacitive touchscreen, 16m colors",SCREEN_TYPE
"5.5 inches (~73.1% screen-to-body ratio)",SCREEN_SIZE
"android os, v6.0.1 (marshmallow), upgradable to v7.0 (nougat)",OS
"quad-core (2x2.35 ghz kryo & 2x1.6 ghz kryo)",CPU_CORES
"oneplus 5 dual sim 128gb a5000 black",TITLE
"5.0, a2dp, le, aptx hd",BLUETOOTH_VERSION
"8 gb ram",RAM
"669 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100)",NETWORK_4G
"non-removable li-po 3300 mah battery",BATTERY_CAPACITY
"dual 16 mp, f/1.7, 24mm, eis (gyro) + 20 mp, f/2.6, 36mm, phase detection autofocus, 1.6x optical zoom, dual-led flash",CAMERA_BACK
"16 mp, f/2.0, 20mm, eis (gyro), 1.0",CAMERA_FRONT
"154.2 x 74.1 x 7.3 mm (6.07 x 2.92 x 0.29 in)",PRODUCT_SIZE
"5.5 inches (~73.0% screen-to-body ratio)",SCREEN_SIZE
"htc 10 lte 32gb gold",TITLE
"v4.2, a2dp, apt-x",BLUETOOTH_VERSION
"416 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)",NETWORK_4G
"12 mp, f/1.8, 26mm, ois, laser autofocus, dual-led (dual tone) flash",CAMERA_BACK
"5 mp, f/1.8, 23mm, ois, autofocus, 1.34",CAMERA_FRONT
"145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in)",PRODUCT_SIZE
