TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||2.0mp |8.0mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
q88h kid tablet pc|||kids tablet ||android 4.4 |||||$51.71||||||802.11b/g/n wireless internet |3.7v / 2000mah ||512mb ||mali-400 mp |a33 ||1.3ghz |tf card up to 32gb (not included) |8gb ||2.0mp |5.0mp |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |7 inch |||1024 x 600 (wsvga) ||
great wall l782 4g phablet 1gb ram 8gb rom|||phablet |dual sim,dual standby,yes (1 x micro sim card slot and 1 x sim card slot) |android 4.4 |||great wall ||$121.85|||built in 3g (wcdma) |gsm 850/900/1800/1900mhz wcdma 850/900/1900/2100mhz fdd-lte 800/850/900/1700/1800/1900/2100/2600mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |5000mah ||1gb ||adreno 306 |msm8916 ||1.2ghz,cortex a53,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |0.3mp |0.387 kg |20.20 x 13.60 x 0.89 cm / 7.95 x 5.35 x 0.35 inches |7.85 inch ||capacitive |1024 x 768 (xga) ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||||0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
cube iplay 10 tablet pc|||tablet pc ||android 6.0 |||cube ||$106.99||||||wifi 802.11a/b/g/n wireless internet |3.7v / 6000mah ||2gb ||mali-t720 mp2 |mtk8163 ||1.3ghz,quad core |tf card up to 128gb (not included) |32gb ||0.3mp |2.0mp (with flash light) |0.6080 kg |26.70 x 16.80 x 0.95 cm / 10.51 x 6.61 x 0.37 inches |10.6 inch ||capacitive (5-point) |1920 x 1080 (fhd) ||
lenovo tab 2 a7-30 android 4.4 phablet|||tablet pc |yes (1 x micro sim card slot),single sim,single standby |android 4.4 |||||$111.56||||gsm 850/900/1800/1900mhz |gsm ||3450mah ||1gb ||mali-450mp |mtk8382 ||quad core,1.3ghz |tf card up to 64gb (not included) |16gb ||||0.269 kg |19.1 x 10.5 x 0.89 cm / 7.51 x 4.13 x 0.35 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
teclast x80 pro tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$116.52||||||802.11b/g/n wireless internet |3.8v / 3800mah polymer lithium battery ||2gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp |0.3090 kg |20.80 x 12.60 x 1.00 cm / 8.19 x 4.96 x 0.39 inches |8 inch ||capacitive (5-point),ips |1920 x 1200 (wuxga) ||
lenovo tb3 - 850f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$140.56||||||802.11b/g/n wireless internet |4290mah, li-ion battery ||1gb |||mtk8161 ||1ghz,quad core |tf card up to 64gb (not included) |16gb ||0.3mp ||0.3480 kg |21.70 x 12.60 x 0.80 cm / 8.54 x 4.96 x 0.31 inches |8 inch ||capacitive |1280 x 800 ||
7 inch gpd q9 game tablet pc|||game tablet ||android 4.4 |||gpd ||$114.99||||||802.11b/g/n wireless internet |5000mah ||2gb ||mali t-764 |rk3288 ||1.8ghz,quad core ||16gb ||2.0mp |5.0mp |0.3960 kg |24.10 x 12.00 x 1.50 cm / 9.49 x 4.72 x 0.59 inches |7 inch |||1024 x 600 (wsvga) ||
onda v80 se 8.0 inch tablet pc|||tablet pc ||android 5.1 |||onda ||$108.58||||||802.11b/g/n wireless internet |3.8v / 4200mah, li-ion polymer battery ||2gb |||a64 ||1.3ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp (with flash light and auto focus) |0.3120 kg |21.40 x 12.50 x 0.95 cm / 8.43 x 4.92 x 0.37 inches |8 inch ||capacitive (5-point) |1920 x 1200 (wuxga) ||
lenovo tb3 730f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$107.02||||||802.11b/g/n wireless internet |3.7v / 3450mah, li-ion polymer battery ||1gb ||mali-t720 |mtk8161p ||1ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |2.0mp |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
teclast tbook 10 s 2 in 1 tablet pc|||tablet pc,umpc ||windows 10 + android 5.1 |||teclast ||$159.99||||||802.11b/g/n wireless internet |3.8v / 5800mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |5.0mp with af |0.5740 kg |24.65 x 16.59 x 0.80 cm / 9.7 x 6.53 x 0.31 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
pipo p7 tablet pc|||tablet pc ||android 4.4 |||pipo ||$158.71||||||802.11b/g/n wireless internet |6400mah, li-ion polymer battery ||2gb ||mali-t764 |rk3288 ||1.8ghz,quad core |tf card up to 64gb (not included) |16gb ||2.0mp |5.0mp |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |9.4 inch ||capacitive (10-point) |1280 x 800 (wxga) ||
cube iwork8 air pro tablet pc|||tablet pc ||windows 10 + android 5.1 |||cube ||$104.99||||||802.11b/g/n wireless internet |3.7v / 3500mah ||2gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |2.0mp |0.3380 kg |21.20 x 12.50 x 0.40 cm / 8.35 x 4.92 x 0.16 inches |8 inch ||capacitive (5-point) |1920 x 1200 (wuxga) ||
chuwi hi10 plus windows 10 + android 5.1 tablet pc|||tablet pc ||windows 10 + android 5.1 |||chuwi ||$164.99||||||802.11b/g/n wireless internet |built-in, 3.7v / 8400mah, li-ion polymer battery ||4gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.7050 kg |27.50 x 18.40 x 0.80 cm / 10.83 x 7.24 x 0.31 inches |10.8 inch ||ips |1920 x 1280 ||
great wall w715 kids tablet pc|||kids tablet ||android 4.4 |||great wall ||$42.99||||||802.11 a/b/g/n wireless internet |2500mah ||1gb ||mali-400 mp |rk3126 ||1.33ghz,quad core ||8gb ||||0.2680 kg |18.70 x 10.60 x 0.80 cm / 7.36 x 4.17 x 0.31 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
teclast tbook 16 power tablet pc|||drawing,tablet pc,umpc,with usb port ||android 6.0,windows 10 |||teclast ||$289.99||||||802.11b/g/n wireless internet |3.8 / 8500mah built-in polymer lithium-ion battery ||8gb ||intel hd graphic(gen8) |intel atom x7-z8750 ||1.6ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |5.0mp |0.8970 kg |30.30 x 17.95 x 1.00 cm / 11.93 x 7.07 x 0.39 inches |11.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |0.3mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
android 4.1 7 inch wsvga rk2928 s7502 tablet pc dual cameras 512mb ram + 4gb rom bluetooth|||tablet pc ||android 4.1 |||||$42.74|||not built-in 3g (support external 3g) |||802.11b/g/n wireless internet |1500mah li-ion battery ||512mb |||rk2928 ||single core,1ghz |tf card up to 32gb (not included) |4gb ||||0.27 kg |18.3 x 12.1 x 1.0 cm |7 inch ||capacitive |1024 x 600 (wsvga) ||
lenovo tb3 - x70f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$273.85||||||802.11 a/b/g/n/ac wireless internet |7000mah, li-ion polymer battery ||2gb |ddr3 |mali-t720 |mtk8161 ||1.3ghz,quad core |tf card up to 64gb (not included) |16gb ||2.0mp |0.3mp |0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
onda v80 se tablet pc|||tablet pc ||android 5.1 |||onda ||$109.66||||||802.11b/g/n wireless internet |3.7v / 4200mah, li-ion polymer battery ||2gb |ddr3 ||a64 ||1.3ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |2.0mp |0.2990 kg |21.30 x 12.60 x 1.00 cm / 8.39 x 4.96 x 0.39 inches |8 inch ||capacitive (10-point) |1920 x 1080 (fhd) ||
excelvan 711 kids tablet pc|||kids tablet ||android 4.4 |||excelvan ||$59.39||||||802.11b/g/n wireless internet |3000mah ||512mb |lpddr3 |opengl es 2.0 |rk3126 ||1.2ghz,quad core |tf card up to 64gb (not included) |8gb ||2.0mp |5.0mp |0.3500 kg |23.00 x 13.00 x 1.20 cm / 9.06 x 5.12 x 0.47 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
chuwi hi12 12.0 inch tablet pc|||tablet pc ||windows 10 + android 5.1 |||chuwi ||$229.99||||||802.11b/g/n wireless internet |3.7v / 11000mah ||4gb |ddr3 |intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.8410 kg |29.90 x 20.20 x 1.00 cm / 11.77 x 7.95 x 0.39 inches |12 inch ||capacitive (10-point),ips |2160 x 1440 ||
lenovo tb3 730f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$107.02||||||802.11b/g/n wireless internet |3.7v / 3450mah, li-ion polymer battery ||1gb |ddr3 |mali-t720 |mtk8161p ||1ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |5.0mp (with flash light and auto focus) |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
7 inch gpd q9 game tablet pc|||game tablet ||android 4.4 |||gpd ||$127.31||||||802.11b/g/n wireless internet |5000mah ||2gb |ddr3 ||rk3288 ||1.8ghz,quad core ||16gb ||||0.3960 kg |24.10 x 12.00 x 1.50 cm / 9.49 x 4.72 x 0.59 inches |7 inch |||1024 x 600 (wsvga) ||
